Image;Collection;Production;Date;Occasion;Leaflet Language
Scan 2024-02-26 1519-34.jpeg;1951-1952;Pelleas en Melisande;11/12/1951;;ned
Scan 2024-02-26 1519-35.jpeg;1951-1952;Faust;13/12/1951;;ned
Scan 2024-02-26 1519-36.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-37.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-38.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-39.jpeg;1951-1952;Albert Herring;15/12/1951;;ned
Scan 2024-02-26 1519-40.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-41.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-42.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-43.jpeg;1951-1952;Albert Herring;16/12/1951;;ned
Scan 2024-02-26 1519-44.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-45.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-46.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-47.jpeg;1951-1952;Boheme;16/12/1951;;ned
Scan 2024-02-26 1519-48.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-49.jpeg;1951-1952;Operabal;18/12/1951;;ned
Scan 2024-02-26 1519-50.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-51.jpeg;1951-1952;Boheme;20/12/1951;;ned
Scan 2024-02-26 1519-52.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-53.jpeg;1951-1952;Tannhauser;22/12/1951;;ned
Scan 2024-02-26 1519-54.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-55.jpeg;1951-1952;Boheme;23/12/1951;;ned
Scan 2024-02-26 1519-56.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-57.jpeg;1951-1952;Manon Lescaut;23/12/1951;;ned
Scan 2024-02-26 1519-58.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-59.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-60.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-61.jpeg;1951-1952;Boheme;25/12/1951;;ned
Scan 2024-02-26 1519-62.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-63.jpeg;1951-1952;Tannhauser;27/12/1951;;ned
Scan 2024-02-26 1519-64.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-65.jpeg;1951-1952;De Vledermuis;29/12/1951;;ned
Scan 2024-02-26 1519-66.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-67.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-68.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-69.jpeg;1951-1952;Operabal;30/12/1951;;ned
Scan 2024-02-26 1519-70.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-71.jpeg;1951-1952;Tannhauser;30/12/1951;;ned
Scan 2024-02-26 1519-72.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-73.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-74.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-75.jpeg;1951-1952;De Vledermuis;01/01/1952;;ned
Scan 2024-02-26 1519-76.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-77.jpeg;1951-1952;Albert Herring;03/01/1952;;ned
Scan 2024-02-26 1519-78.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-79.jpeg;1951-1952;De Lustige Weduwe;05/01/1952;;ned
Scan 2024-02-26 1519-80.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-81.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-82.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-83.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-84.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-85.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-86.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-87.jpeg;1951-1952;Tannhauser;06/01/1952;;ned
Scan 2024-02-26 1519-88.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-89.jpeg;1951-1952;De Lustige Weduwe;06/01/1952;;ned
Scan 2024-02-26 1519-90.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-91.jpeg;1951-1952;Entre Deux Rondes + De Wals;08/01/1952;;ned
Scan 2024-02-26 1519-92.jpeg;1951-1952;Giselle;08/01/1952;;ned
Scan 2024-02-26 1519-93.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-94.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-95.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-96.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-97.jpeg;1951-1952;Operabal;10/01/1952;;ned
Scan 2024-02-26 1519-98.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-99.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-100.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-101.jpeg;1951-1952;Louise;12/01/1952;;ned
Scan 2024-02-26 1519-102.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-103.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-104.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-105.jpeg;1951-1952;De Vledermuis;13/01/1952;;ned
Scan 2024-02-26 1519-106.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-107.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-108.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-109.jpeg;1951-1952;Albert Herring;13/01/1952;;ned
Scan 2024-02-26 1519-110.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-111.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-112.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-113.jpeg;1951-1952;Albert Herring;15/01/1952;;ned
Scan 2024-02-26 1519-114.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-115.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-116.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-117.jpeg;1951-1952;De Lustige Weduwe;17/01/1952;;ned
Scan 2024-02-26 1519-118.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-119.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-120.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-121.jpeg;1951-1952;Don Pasquale;19/01/1952;;ned
Scan 2024-02-26 1519-122.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-123.jpeg;1951-1952;Entre Deux Rondes;19/01/1952;;ned
Scan 2024-02-26 1519-124.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-125.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-126.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-127.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-128.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-129.jpeg;1951-1952;Louise;20/01/1952;;ned
Scan 2024-02-26 1519-130.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-131.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-132.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-133.jpeg;1951-1952;Pelleas en Melisande;20/01/1952;;ned
Scan 2024-02-26 1519-134.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-135.jpeg;1951-1952;Entre Deux Rondes + De Wals;22/01/1952;;ned
Scan 2024-02-26 1519-136.jpeg;1951-1952;Giselle;22/01/1952;;ned
Scan 2024-02-26 1519-137.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-138.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-139.jpeg;1951-1952;Louise;24/01/1952;;ned
Scan 2024-02-26 1519-140.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-141.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-142.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-143.jpeg;1951-1952;Fedora;26/01/1952;;ned
Scan 2024-02-26 1519-144.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-145.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-146.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-147.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-148.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-149.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-150.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-151.jpeg;1951-1952;De Lustige Weduwe;27/01/1952;;ned
Scan 2024-02-26 1519-152.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-153.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-154.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-155.jpeg;1951-1952;Louise;27/01/1952;;ned
Scan 2024-02-26 1519-156.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-157.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-158.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-159.jpeg;1951-1952;Don Pasquale;29/01/1952;;ned
Scan 2024-02-26 1519-160.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-161.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-162.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-163.jpeg;1951-1952;Fedora;31/01/1952;;ned
Scan 2024-02-26 1519-164.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-165.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-166.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-167.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-168.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-169.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1519-170.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-1.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-2.jpeg;1951-1952;Carmen;02/02/1952;;ned
Scan 2024-02-26 1537-3.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-4.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-5.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-6.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-7.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-8.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-9.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-10.jpeg;1951-1952;Fedora;03/02/1952;;ned
Scan 2024-02-26 1537-11.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-12.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-13.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-14.jpeg;1951-1952;Don Pasquale;03/02/1952;;ned
Scan 2024-02-26 1537-15.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-16.jpeg;1951-1952;Entre Deux Rondes;03/02/1952;;ned
Scan 2024-02-26 1537-17.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-18.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-19.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-20.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-21.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-22.jpeg;1951-1952;Bohême;05/02/1952;galavoorstelling;ned
Scan 2024-02-26 1537-23.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-24.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-25.jpeg;1951-1952;;;;"ned ; fra"
Scan 2024-02-26 1537-26.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-27.jpeg;1951-1952;;;;fra
Scan 2024-02-26 1537-28.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-29.jpeg;1951-1952;Carmen;07/02/1952;;ned
Scan 2024-02-26 1537-30.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-31.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-32.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-33.jpeg;1951-1952;Boheme;09/02/1952;;ned
Scan 2024-02-26 1537-34.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-35.jpeg;1951-1952;Don Pasquale;10/02/1952;;ned
Scan 2024-02-26 1537-36.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-37.jpeg;1951-1952;Entre Deux Rondes;10/02/1952;;ned
Scan 2024-02-26 1537-38.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-39.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-40.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-41.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-42.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-43.jpeg;1951-1952;Carmen;10/02/1952;;ned
Scan 2024-02-26 1537-44.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-45.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-46.jpeg;1951-1952;L'Album Magique + Beach Idylle;12/02/1952;;ned
Scan 2024-02-26 1537-47.jpeg;1951-1952;La Vielle du Village + De Ridder Percivaal;12/02/1952;;ned
Scan 2024-02-26 1537-48.jpeg;1951-1952;Bolero;12/02/1952;;ned
Scan 2024-02-26 1537-49.jpeg;1951-1952;Romeo et Juliette + Namouna + Caprice Italien;12/02/1952;;ned
Scan 2024-02-26 1537-50.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-51.jpeg;1951-1952;Boheme;14/02/1952;;ned
Scan 2024-02-26 1537-52.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-53.jpeg;1951-1952;De Walkure;16/02/1952;;ned
Scan 2024-02-26 1537-54.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-55.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-56.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-57.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-58.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-59.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-60.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-61.jpeg;1951-1952;Carmen;17/02/1952;;ned
Scan 2024-02-26 1537-62.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-63.jpeg;1951-1952;Fedora;17/02/1952;;ned
Scan 2024-02-26 1537-64.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-65.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-66.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-67.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-68.jpeg;1951-1952;L'Album Magique + Beach Idylle;19/02/1952;;ned
Scan 2024-02-26 1537-69.jpeg;1951-1952;La Vielle du Village + De Ridder Percivaal;19/02/1952;;ned
Scan 2024-02-26 1537-70.jpeg;1951-1952;Bolero;19/02/1952;;ned
Scan 2024-02-26 1537-71.jpeg;1951-1952;De Zeven Hoofdzonden;19/02/1952;;ned
Scan 2024-02-26 1537-72.jpeg;1951-1952;Namouna;19/02/1952;;ned
Scan 2024-02-26 1537-73.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-74.jpeg;1951-1952;Don Pasquale;21/02/1952;;ned
Scan 2024-02-26 1537-75.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-76.jpeg;1951-1952;Entre Deux Rondes;21/02/1952;;ned
Scan 2024-02-26 1537-77.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-78.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-79.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-80.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-81.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-82.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-83.jpeg;1951-1952;Malafonte;23/02/1952;wereldpremière;ned
Scan 2024-02-26 1537-84.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-85.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-86.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-87.jpeg;1951-1952;De Lustige Weduwe;24/02/1952;;ned
Scan 2024-02-26 1537-88.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-89.jpeg;1951-1952;De Walkure;24/02/1952;;ned
Scan 2024-02-26 1537-90.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-91.jpeg;1951-1952;Fedora;26/02/1952;;ned
Scan 2024-02-26 1537-92.jpeg;1951-1952;;;;ned
Scan 2024-02-26 1537-93.jpeg;1951-1952;De Walkure;28/02/1952;;ned
Scan 2024-02-26 1537-94.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-1.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-2.jpeg;1951-1952;Fanny Elssler;01/03/1952;;ned
Scan 2024-02-28 1109-3.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-4.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-5.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-6.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-7.jpeg;1951-1952;Malafonte;02/03/1952;;ned
Scan 2024-02-28 1109-8.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-9.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-10.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-11.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-12.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-13.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-14.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-15.jpeg;1951-1952;Don Pasquale;02/03/1952;;ned
Scan 2024-02-28 1109-16.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-17.jpeg;1951-1952;Entre Deux Rondes;02/03/1952;;ned
Scan 2024-02-28 1109-18.jpeg;1951-1952;Entre Deux Rondes;02/03/1952;;ned
Scan 2024-02-28 1109-19.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-20.jpeg;1951-1952;Faust;04/03/1952;galavoorstelling;ned
Scan 2024-02-28 1109-21.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-22.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-23.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-24.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-25.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-26.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-27.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-28.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-29.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-30.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-31.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-32.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-33.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-34.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-35.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-36.jpeg;1951-1952;Fanny Elssler;06/03/1952;;ned
Scan 2024-02-28 1109-37.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-38.jpeg;1951-1952;Hoffmann's Vertellingen;08/03/1952;;ned
Scan 2024-02-28 1109-39.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-40.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-41.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-42.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-43.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-44.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-45.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-46.jpeg;1951-1952;Fanny Elssler;09/03/1952;;ned
Scan 2024-02-28 1109-47.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-48.jpeg;1951-1952;Hoffmann's Vertellingen;09/03/1952;;ned
Scan 2024-02-28 1109-49.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-50.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-51.jpeg;1951-1952;Tannhäuser;11/03/1952;galavoorstelling;ned
Scan 2024-02-28 1109-52.jpeg;1951-1952;Hoffmann's Vertellingen;13/03/1952;;ned
Scan 2024-02-28 1109-53.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-54.jpeg;1951-1952;Don Pasquale;15/03/1952;;ned
Scan 2024-02-28 1109-55.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-56.jpeg;1951-1952;Namouma;15/03/1952;;ned
Scan 2024-02-28 1109-57.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-58.jpeg;1951-1952;Hoffmann's Vertellingen;16/03/1952;;ned
Scan 2024-02-28 1109-59.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-60.jpeg;1951-1952;Malafonte;16/03/1952;;ned
Scan 2024-02-28 1109-61.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-62.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-63.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-64.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-65.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-66.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-67.jpeg;1951-1952;Een Nacht in Wenen;18/03/1952;;ned
Scan 2024-02-28 1109-68.jpeg;1951-1952;Malafonte;20/03/1952;;ned
Scan 2024-02-28 1109-69.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-70.jpeg;1951-1952;De Rozencavalier;22/03/1952;;ned
Scan 2024-02-28 1109-71.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-72.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-73.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-74.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-75.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-76.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-77.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-78.jpeg;1951-1952;Faust;23/03/1952;;ned
Scan 2024-02-28 1109-79.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-80.jpeg;1951-1952;Fanny Elssler;23/03/1952;;ned
Scan 2024-02-28 1109-81.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-82.jpeg;1951-1952;Carmen;25/03/1952;;ned
Scan 2024-02-28 1109-83.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-84.jpeg;1951-1952;De Rozencavalier;27/03/1952;;ned
Scan 2024-02-28 1109-85.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-86.jpeg;1951-1952;Fallstaff;29/03/1952;;ned
Scan 2024-02-28 1109-87.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-88.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-89.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-90.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-91.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-92.jpeg;1951-1952;Don Pasquale;30/03/1952;;ned
Scan 2024-02-28 1109-93.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-94.jpeg;1951-1952;Entre Deux Rondes;30/03/1952;;ned
Scan 2024-02-28 1109-95.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-96.jpeg;1951-1952;De Vledermuis;30/03/1952;;ned
Scan 2024-02-28 1109-97.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-98.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-99.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-100.jpeg;1951-1952;Hindoese Balletten;01/04/1952;;ned
Scan 2024-02-28 1109-101.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-102.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-103.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-104.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-105.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-106.jpeg;1951-1952;Falstaff;03/04/1952;;ned
Scan 2024-02-28 1109-107.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-108.jpeg;1951-1952;De Zeven Hoofdzonden;03/04/1952;;ned
Scan 2024-02-28 1109-109.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-110.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-111.jpeg;1951-1952;Prélude à L'Après-Midi d'un Faune;03/04/1952;;ned
Scan 2024-02-28 1109-112.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-113.jpeg;1951-1952;Chout;03/04/1952;;ned
Scan 2024-02-28 1109-114.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-115.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-116.jpeg;1951-1952;Falstaff;06/04/1952;;ned
Scan 2024-02-28 1109-117.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-118.jpeg;1951-1952;Carmen;06/04/1952;;ned
Scan 2024-02-28 1109-119.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-120.jpeg;1951-1952;;;;"ned ; fra"
Scan 2024-02-28 1109-121.jpeg;1951-1952;Il Barbiere di Seviglia;08/04/1952;galavoorstelling;"ned ; fra"
Scan 2024-02-28 1109-122.jpeg;1951-1952;;;;"ned ; fra"
Scan 2024-02-28 1109-123.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-124.jpeg;1951-1952;;;;"ned; fra"
Scan 2024-02-28 1109-125.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-126.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-127.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-128.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-129.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-130.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-131.jpeg;1951-1952;Hoffmann's Vertellingen;12/04/1952;;ned
Scan 2024-02-28 1109-132.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-133.jpeg;1951-1952;De Rozencavalier;13/04/1952;;ned
Scan 2024-02-28 1109-134.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-135.jpeg;1951-1952;De Bazige Meid;13/04/1952;;ned
Scan 2024-02-28 1109-136.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-137.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-138.jpeg;1951-1952;Chout;13/04/1952;;ned
Scan 2024-02-28 1109-139.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-140.jpeg;1951-1952;Namouma;13/04/1952;;ned
Scan 2024-02-28 1109-141.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-142.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-143.jpeg;1951-1952;Falstaff;15/04/1952;;ned
Scan 2024-02-28 1109-144.jpeg;1951-1952;;;;ned
Scan 2024-02-28 1109-145.jpeg;1951-1952;De Bazige Meid;17/04/1952;;ned
